Source,Destination,Protocol,SrcPort,DstPort,DataSize,Duration
10.198.0.166,111.183.8.139,6,1862,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,2998,58,0.000
10.198.0.166,111.183.8.139,6,2998,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,545,58,0.000
10.198.0.166,111.183.8.139,6,545,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,119,58,0.000
10.198.0.166,111.183.8.139,6,119,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,3851,58,0.000
10.198.0.166,111.183.8.139,6,3851,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,1051,58,0.000
10.198.0.166,111.183.8.139,6,1051,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,8400,58,0.000
10.198.0.166,111.183.8.139,6,8400,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,1998,58,0.000
10.198.0.166,111.183.8.139,6,1998,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,5815,58,0.000
10.198.0.166,111.183.8.139,6,5815,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,5222,58,0.000
10.198.0.166,111.183.8.139,6,5222,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,10628,58,0.000
10.198.0.166,111.183.8.139,6,10628,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,5961,58,0.000
10.198.0.166,111.183.8.139,6,5961,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,1244,58,0.000
10.198.0.166,111.183.8.139,6,1244,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,7007,58,0.000
111.183.8.139,10.198.0.166,6,22100,10002,58,0.000
10.198.0.166,111.183.8.139,6,7007,22100,54,0.000
10.198.0.166,111.183.8.139,6,10002,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,8873,58,0.000
10.198.0.166,111.183.8.139,6,8873,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,1089,58,0.000
10.198.0.166,111.183.8.139,6,1089,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,254,58,0.000
10.198.0.166,111.183.8.139,6,254,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,1069,58,0.000
10.198.0.166,111.183.8.139,6,1069,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,6001,58,0.000
10.198.0.166,111.183.8.139,6,6001,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,1721,58,0.000
10.198.0.166,111.183.8.139,6,1721,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,1067,58,0.000
10.198.0.166,111.183.8.139,6,1067,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,10010,58,0.000
111.183.8.139,10.198.0.166,6,22100,1024,58,0.000
10.198.0.166,111.183.8.139,6,10010,22100,54,0.000
10.198.0.166,111.183.8.139,6,1024,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,13456,58,0.000
10.198.0.166,111.183.8.139,6,13456,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,2605,58,0.000
10.198.0.166,111.183.8.139,6,2605,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,2382,58,0.000
10.198.0.166,111.183.8.139,6,2382,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,513,58,0.000
10.198.0.166,111.183.8.139,6,513,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,2103,58,0.000
10.198.0.166,111.183.8.139,6,2103,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,32778,58,0.000
10.198.0.166,111.183.8.139,6,32778,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,7921,58,0.000
10.198.0.166,111.183.8.139,6,7921,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,2100,58,0.000
10.198.0.166,111.183.8.139,6,2100,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,4111,58,0.000
10.198.0.166,111.183.8.139,6,4111,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,4899,58,0.000
10.198.0.166,111.183.8.139,6,4899,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,90,58,0.000
10.198.0.166,111.183.8.139,6,90,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,1041,58,0.000
10.198.0.166,111.183.8.139,6,1041,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,1010,58,0.000
10.198.0.166,111.183.8.139,6,1010,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,20005,58,0.000
10.198.0.166,111.183.8.139,6,20005,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,7999,58,0.000
10.198.0.166,111.183.8.139,6,7999,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,5000,58,0.000
10.198.0.166,111.183.8.139,6,5000,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,50389,58,0.000
10.198.0.166,111.183.8.139,6,50389,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,1117,58,0.000
10.198.0.166,111.183.8.139,6,1117,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,255,58,0.000
10.198.0.166,111.183.8.139,6,255,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,7778,58,0.000
10.198.0.166,111.183.8.139,6,7778,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,40911,58,0.000
10.198.0.166,111.183.8.139,6,40911,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,8083,58,0.000
10.198.0.166,111.183.8.139,6,8083,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,3826,58,0.000
10.198.0.166,111.183.8.139,6,3826,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,8086,58,0.000
10.198.0.166,111.183.8.139,6,8086,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,1126,58,0.000
10.198.0.166,111.183.8.139,6,1126,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,64680,58,0.000
10.198.0.166,111.183.8.139,6,64680,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,50002,58,0.000
10.198.0.166,111.183.8.139,6,50002,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,8042,58,0.000
10.198.0.166,111.183.8.139,6,8042,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,981,58,0.000
10.198.0.166,111.183.8.139,6,981,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,1352,58,0.000
10.198.0.166,111.183.8.139,6,1352,22100,54,0.000
111.183.8.139,10.198.0.166,6,22100,1027,58,0.000
